"","movie_id","title","release_year","popularity","original_language","poster_path","language","country","release_date","academy_award","academy_nominated","palme_dor","golden_lion"
"1",55,"Amores Perros","2000",4.281,"es","https://image.tmdb.org/t/p/w500/tuyV4ceh80IBTbRJWX7jJ59UFxn.jpg","es","US","2001-03-30T00:00:00.000Z",0,0,0,0
"2",55,"Amores Perros","2000",4.281,"es","https://image.tmdb.org/t/p/w500/tuyV4ceh80IBTbRJWX7jJ59UFxn.jpg","es","GB","2001-02-22T00:00:00.000Z",0,0,0,0
"3",55,"Amores Perros","2000",4.281,"es","https://image.tmdb.org/t/p/w500/tuyV4ceh80IBTbRJWX7jJ59UFxn.jpg","es","DE","2001-11-01T00:00:00.000Z",0,0,0,0
"4",55,"Amores Perros","2000",4.281,"es","https://image.tmdb.org/t/p/w500/tuyV4ceh80IBTbRJWX7jJ59UFxn.jpg","es","FR","2000-05-14T00:00:00.000Z",0,0,0,0
"5",55,"Amores Perros","2000",4.281,"es","https://image.tmdb.org/t/p/w500/tuyV4ceh80IBTbRJWX7jJ59UFxn.jpg","es","FR","2000-10-30T00:00:00.000Z",0,0,0,0
"6",55,"Amores Perros","2000",4.281,"es","https://image.tmdb.org/t/p/w500/tuyV4ceh80IBTbRJWX7jJ59UFxn.jpg","es","JP","2002-02-22T00:00:00.000Z",0,0,0,0
"7",55,"Amores Perros","2000",4.281,"es","https://image.tmdb.org/t/p/w500/tuyV4ceh80IBTbRJWX7jJ59UFxn.jpg","es","ES","2001-03-16T00:00:00.000Z",0,0,0,0
"8",55,"Amores Perros","2000",4.281,"es","https://image.tmdb.org/t/p/w500/tuyV4ceh80IBTbRJWX7jJ59UFxn.jpg","es","IT","2001-03-02T00:00:00.000Z",0,0,0,0
"9",55,"Amores Perros","2000",4.281,"es","https://image.tmdb.org/t/p/w500/tuyV4ceh80IBTbRJWX7jJ59UFxn.jpg","es","BR","2001-08-19T00:00:00.000Z",0,0,0,0
"10",1125510,"The Platform 2","2024",3.997,"es","https://image.tmdb.org/t/p/w500/tvIpBg12IIA5Dr9Sjn38ygS1vQp.jpg","es","US","2024-10-01T00:00:00.000Z",0,0,0,0
"11",1125510,"The Platform 2","2024",3.997,"es","https://image.tmdb.org/t/p/w500/tvIpBg12IIA5Dr9Sjn38ygS1vQp.jpg","es","US","2024-10-04T00:00:00.000Z",0,0,0,0
"12",1125510,"The Platform 2","2024",3.997,"es","https://image.tmdb.org/t/p/w500/tvIpBg12IIA5Dr9Sjn38ygS1vQp.jpg","es","GB","2024-10-04T00:00:00.000Z",0,0,0,0
"13",1125510,"The Platform 2","2024",3.997,"es","https://image.tmdb.org/t/p/w500/tvIpBg12IIA5Dr9Sjn38ygS1vQp.jpg","es","DE","2024-10-04T00:00:00.000Z",0,0,0,0
"14",1125510,"The Platform 2","2024",3.997,"es","https://image.tmdb.org/t/p/w500/tvIpBg12IIA5Dr9Sjn38ygS1vQp.jpg","es","FR","2024-10-04T00:00:00.000Z",0,0,0,0
"15",1125510,"The Platform 2","2024",3.997,"es","https://image.tmdb.org/t/p/w500/tvIpBg12IIA5Dr9Sjn38ygS1vQp.jpg","es","TR","2024-10-04T00:00:00.000Z",0,0,0,0
"16",1125510,"The Platform 2","2024",3.997,"es","https://image.tmdb.org/t/p/w500/tvIpBg12IIA5Dr9Sjn38ygS1vQp.jpg","es","IN","2024-10-04T00:00:00.000Z",0,0,0,0
"17",1125510,"The Platform 2","2024",3.997,"es","https://image.tmdb.org/t/p/w500/tvIpBg12IIA5Dr9Sjn38ygS1vQp.jpg","es","JP","2024-10-04T00:00:00.000Z",0,0,0,0
"18",1125510,"The Platform 2","2024",3.997,"es","https://image.tmdb.org/t/p/w500/tvIpBg12IIA5Dr9Sjn38ygS1vQp.jpg","es","ES","2024-09-27T00:00:00.000Z",0,0,0,0
"19",1125510,"The Platform 2","2024",3.997,"es","https://image.tmdb.org/t/p/w500/tvIpBg12IIA5Dr9Sjn38ygS1vQp.jpg","es","ES","2024-10-04T00:00:00.000Z",0,0,0,0
"20",1125510,"The Platform 2","2024",3.997,"es","https://image.tmdb.org/t/p/w500/tvIpBg12IIA5Dr9Sjn38ygS1vQp.jpg","es","IT","2024-10-04T00:00:00.000Z",0,0,0,0
"21",1125510,"The Platform 2","2024",3.997,"es","https://image.tmdb.org/t/p/w500/tvIpBg12IIA5Dr9Sjn38ygS1vQp.jpg","es","BR","2024-10-04T00:00:00.000Z",0,0,0,0
"22",1417,"Pan's Labyrinth","2006",4.377,"es","https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg","es","US","2006-10-15T00:00:00.000Z",0,0,0,0
"23",1417,"Pan's Labyrinth","2006",4.377,"es","https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg","es","US","2007-01-17T00:00:00.000Z",0,0,0,0
"24",1417,"Pan's Labyrinth","2006",4.377,"es","https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg","es","US","2006-12-18T00:00:00.000Z",0,0,0,0
"25",1417,"Pan's Labyrinth","2006",4.377,"es","https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg","es","US","2006-12-29T00:00:00.000Z",0,0,0,0
"26",1417,"Pan's Labyrinth","2006",4.377,"es","https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg","es","US","2007-01-19T00:00:00.000Z",0,0,0,0
"27",1417,"Pan's Labyrinth","2006",4.377,"es","https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg","es","GB","2006-08-25T00:00:00.000Z",0,0,0,0
"28",1417,"Pan's Labyrinth","2006",4.377,"es","https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg","es","GB","2006-11-24T00:00:00.000Z",0,0,0,0
"29",1417,"Pan's Labyrinth","2006",4.377,"es","https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg","es","DE","2007-02-22T00:00:00.000Z",0,0,0,0
